affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
exactmer limited,,exactmer limited,,,unmapped,,[]
exhalix  llc,,exhalix  llc,,,unmapped,,[]
experic,,experic,,,unmapped,,[]
exxon mobil research and engineering,,exxon mobil research and engineering,,,unmapped,,[]
exxonmobil chemical company,,exxonmobil chemical company,,,suggested,,"[('dow chemical company', 0.7659574468085106), ('the dow chemical company', 0.7450980392156863)]"
exxonmobil research and engineering company,,exxonmobil research and engineering company,,,unmapped,,[]
exxonmobil research qatar,,exxonmobil research qatar,,,unmapped,,[]
exxonmobil technology and engineering,,exxonmobil technology and engineering,,,suggested,,"[('shell technology center', 0.6)]"
exxonmobil technology and engineering company,,exxonmobil technology and engineering company,,,unmapped,,[]
facilis ai,,facilis ai,,,unmapped,,[]
facultad de ingeniería química  universidad nacional del litoral,,facultad de ingeniería química  universidad nacional del litoral,,,suggested,,"[('faculdade de engenharia, universidade do porto', 0.6181818181818182)]"
facultad de química,,facultad de química,,,unmapped,,[]
faculty of new sciences and technologies  university of tehran,,faculty of new sciences and technologies  university of tehran,,,unmapped,,[]
faculty of pharmacy of the university of lisbon,,faculty of pharmacy of the university of lisbon,,,unmapped,,[]
famu-fsu college of engineering  florida state university,,famu-fsu college of engineering  florida state university,,,suggested,,"[('famu-fsu college of engineering', 0.7045454545454546)]"
federal university of agriculture,,federal university of agriculture,,,suggested,,"[('federal university of santa catarina', 0.7246376811594203), ('university of tartu', 0.6923076923076923), ('the university of maine', 0.6785714285714286), ('soka university of america', 0.6779661016949152), ('university of warwick', 0.6666666666666666)]"
federal university of bahia,,federal university of bahia,,,suggested,,"[('federal university of santa catarina', 0.7936507936507936), ('university of pavia', 0.7391304347826086), ('university of omaha', 0.7391304347826086), ('the university of utah', 0.7346938775510204), ('the university of maine', 0.72)]"
federal university of campina grande,,federal university of campina grande,,,suggested,,"[('federal university of santa catarina', 0.75), ('university of california san diego', 0.6857142857142857), ('university of cantabria', 0.6101694915254238), ('university of cambridge', 0.6779661016949152), ('the university of maine', 0.6779661016949152)]"
figure 8 environmental,,figure 8 environmental,,,unmapped,,[]
florida aandm university-florida state university,,florida aandm university-florida state university,,,suggested,,"[('louisiana state university', 0.6133333333333333), ('north carolina aandt state university', 0.627906976744186), ('colorado state university', 0.5945945945945946)]"
florida aandm university-florida state university college of engineering,,florida aandm university-florida state university college of engineering,,,suggested,,"[('famu-fsu college of engineering', 0.6019417475728155)]"
florida agricultural and mechanical university,,florida agricultural and mechanical university,,,suggested,,"[('north carolina agricultural and technical state university', 0.7884615384615384), ('florida atlantic university', 0.6027397260273972), ('australian national university', 0.631578947368421), ('michigan technological university', 0.6075949367088608)]"
fondazione istituto di ricerca città della speranza,,fondazione istituto di ricerca città della speranza,,,unmapped,,[]
forest concepts,,forest concepts,,,unmapped,,[]
forest products laboratory,,forest products laboratory,,,suggested,,"[('pacific northwest national laboratory', 0.6031746031746031)]"
forge nano,,forge nano,,,unmapped,,[]
forge nano inc,,forge nano inc,,,unmapped,,[]
forschungszentrum jülich gmbh,,forschungszentrum jülich gmbh,,,unmapped,,[]
fortum waste solutions oy,,fortum waste solutions oy,,,suggested,,"[('synt solutions', 0.5641025641025641)]"
foth infrastructure and environment,,foth infrastructure and environment,,,unmapped,,[]
fractionation research inc,,fractionation research inc,,,suggested,,"[('national research council cnr', 0.6545454545454545)]"
fracture systems ltd,,fracture systems ltd,,,unmapped,,[]
fraunhofer imte,,fraunhofer imte,,,unmapped,,[]
friedrich schiller university,,friedrich schiller university,,,suggested,,"[('georgia southern university', 0.6428571428571429), ('rwth aachen university', 0.5882352941176471), ('mcgill university', 0.6521739130434783), ('wichita state university', 0.6415094339622641), ('manchester university', 0.64)]"
fuels  engines and emissions research center  oak ridge national laboratory,,fuels  engines and emissions research center  oak ridge national laboratory,,,unmapped,,[]
fundamental ai research   meta,,fundamental ai research   meta,,,unmapped,,[]
general motors corporation,,general motors corporation,,,suggested,,"[('eaton corporation', 0.7441860465116279), ('basf corporation', 0.6666666666666666), ('evonik corporation', 0.6363636363636364)]"
genetic engineering and biotechnology research division  national research centre,,genetic engineering and biotechnology research division  national research centre,,,unmapped,,[]
genscript usa inc,,genscript usa inc,,,unmapped,,[]
geocircular consulting group,,geocircular consulting group,,,unmapped,,[]
george w  woodruff school of mechanical engineering  georgia institute of technology,,george w  woodruff school of mechanical engineering  georgia institute of technology,,,unmapped,,[]
georgetown university,,georgetown university,,,suggested,,"[('rowan university', 0.8108108108108109), ('brown university', 0.8108108108108109), ('cape breton university', 0.7906976744186046), ('princeton university', 0.7804878048780488), ('korea university', 0.7567567567567568)]"
georgia institute of technology and emory university,,georgia institute of technology and emory university,,,suggested,,"[('georgia institute of technology', 0.7469879518072289), ('indian institute of technology jammu', 0.6818181818181818), ('indian institute of technology delhi', 0.6818181818181818), ('florida institute of technology', 0.6746987951807228), ('indian institute of technology roorkee', 0.6666666666666666)]"
georgia institute of technology college of engineering,,georgia institute of technology college of engineering,,,suggested,,"[('georgia institute of technology', 0.7294117647058823), ('indian institute of technology roorkee', 0.6739130434782609), ('florida institute of technology', 0.6588235294117647), ('indian institute of technology delhi', 0.6444444444444445), ('vellore institute of technology', 0.6352941176470588)]"
georgia tech and emory university,,georgia tech and emory university,,,suggested,,"[('georgia southern university', 0.7333333333333333), ('texas tech university', 0.6666666666666666), ('louisiana tech university', 0.6551724137931034), ('texas aandm university', 0.6545454545454545), ('florida atlantic university', 0.6333333333333333)]"
georgia tech university,,georgia tech university,,,suggested,,"[('georgia southern university', 0.84), ('texas tech university', 0.8181818181818182), ('louisiana tech university', 0.7916666666666666), ('earth university', 0.7692307692307693), ('memorial university', 0.7619047619047619)]"
gharda institute of technology lavel,,gharda institute of technology lavel,,,suggested,,"[('harbin institute of technology', 0.8181818181818182), ('georgia institute of technology', 0.8059701492537313), ('florida institute of technology', 0.8059701492537313), ('indian institute of technology delhi', 0.7777777777777778), ('chiba institute of technology', 0.8)]"
giv group,,giv group,,,suggested,,"[('inga group', 0.7368421052631579)]"
glaxosmithkline,,glaxosmithkline,,,unmapped,,[]
global manufacturing engineer iff,,global manufacturing engineer iff,,,unmapped,,[]
glycosyn llc,,glycosyn llc,,,unmapped,,[]
goeppert llc,,goeppert llc,,,unmapped,,[]
google,,google,,,unmapped,,[]
granutools,,granutools,,,unmapped,,[]
greenpack technologies,,greenpack technologies,,,suggested,,"[('freeman technology', 0.7), ('em ai technology', 0.631578947368421), ('aspen technology inc.', 0.6046511627906976)]"
gs engineering and construction corp,,gs engineering and construction corp,,,unmapped,,[]
gsk glaxo wellcome manufacturing pte ltd  1 pioneer  sector 1  singapore,,gsk glaxo wellcome manufacturing pte ltd  1 pioneer  sector 1  singapore,,,unmapped,,[]
gsk medicines research centre,,gsk medicines research centre,,,suggested,,"[('nasa glenn research center', 0.6545454545454545), ('ibm almaden research center', 0.6785714285714286)]"
gsk randd,,gsk randd,,,suggested,,"[('edf randd', 0.6666666666666666)]"
gti energy,,gti energy,,,suggested,,"[('feed energy', 0.6666666666666666)]"
guangzhou institute of energy conversion,,guangzhou institute of energy conversion,,,suggested,,"[('korea institute of energy technology', 0.6578947368421053), ('indian institute of technology ropar', 0.6052631578947368), ('indian institute of technology delhi', 0.6052631578947368), ('indian institute of technology bhu varanasi', 0.5783132530120482)]"
guangzhou institute of energy conversion  chinese academy of sciences,,guangzhou institute of energy conversion  chinese academy of sciences,,,unmapped,,[]
guild associates,,guild associates,,,suggested,,"[('gilead sciences', 0.6451612903225806)]"
gurobi optimization,,gurobi optimization,,,unmapped,,[]
gyeongsang national university,,gyeongsang national university,,,suggested,,"[('pukyong national university', 0.8421052631578947), ('pusan national university', 0.8363636363636363), ('kongju national university', 0.8214285714285714), ('kangwon national university', 0.8070175438596491), ('yokohama national university', 0.7931034482758621)]"
h quest vanguard  inc,,h quest vanguard  inc,,,unmapped,,[]
haleon plc,,haleon plc,,,unmapped,,[]
hamad bin khalifa university,,hamad bin khalifa university,,,suggested,,"[('khalifa university', 0.782608695652174), ('inha university', 0.6976744186046512), ('yokohama national university', 0.7142857142857143), ('yantai university', 0.6222222222222222), ('vanderbilt university', 0.6530612244897959)]"
hamad bin khalifa university  qatar foundation,,hamad bin khalifa university  qatar foundation,,,unmapped,,[]
hanyang university,,hanyang university,,,suggested,,"[('chang gung university', 0.8205128205128205), ('zhejiang university', 0.8108108108108109), ('yantai university', 0.8), ('nagoya university', 0.8), ('hongik university', 0.8)]"
harris lab at purdue university,,harris lab at purdue university,,,suggested,,"[('purdue university', 0.7083333333333334), ('harvard university', 0.6938775510204082), ('arizona state university', 0.6545454545454545), ('iowa state university', 0.6153846153846154), ('north carolina state university', 0.6129032258064516)]"
harvard college,,harvard college,,,suggested,,"[('augsburg college', 0.6451612903225806), ('lafayette college', 0.625), ('dartmouth college', 0.625)]"
harvard medical school,,harvard medical school,,,unmapped,,[]
harvard medical school - massachusetts general hospital,,harvard medical school - massachusetts general hospital,,,unmapped,,[]
harvard medical school brigham and women s hospital,,harvard medical school brigham and women s hospital,,,unmapped,,[]
harvey mudd college,,harvey mudd college,,,suggested,,"[('dartmouth college', 0.6666666666666666)]"
hbku core labs  hamad bin khalifa university,,hbku core labs  hamad bin khalifa university,,,unmapped,,[]
health research institute,,health research institute,,,suggested,,"[('paul scherrer institute', 0.625), ('rensselaer polytechnic institute', 0.631578947368421), ('the cyprus institute', 0.6666666666666666)]"
helical energy,,helical energy,,,suggested,,"[('feed energy', 0.64)]"
hemocleanse technologies  llc,,hemocleanse technologies  llc,,,suggested,,"[('aspen technology inc.', 0.56)]"
hiden isochema,,hiden isochema,,,unmapped,,[]
high performance materials institute  florida state university,,high performance materials institute  florida state university,,,suggested,,"[('virginia polytechnic institute and state university', 0.6548672566371682)]"
higher collages of technology,,higher collages of technology,,,suggested,,"[('vellore institute of technology', 0.6333333333333333), ('hamburg university of technology', 0.6229508196721312), ('em ai technology', 0.5333333333333333), ('izmir institute of technology', 0.6206896551724138), ('graz university of technology', 0.6206896551724138)]"
hiroshima university,,hiroshima university,,,suggested,,"[('ohio university', 0.8), ('inha university', 0.7428571428571429), ('rowan university', 0.7777777777777778), ('hoseo university', 0.7777777777777778), ('lehigh university', 0.7567567567567568)]"
hiroshima university at japan,,hiroshima university at japan,,,suggested,,"[('ohio university', 0.6363636363636364), ('inha university', 0.5909090909090909), ('rowan university', 0.6222222222222222), ('hoseo university', 0.6222222222222222), ('soka university of america', 0.5818181818181818)]"
hitachi energy germany ag,,hitachi energy germany ag,,,unmapped,,[]
hkust,,hkust,,,suggested,,"[('kaust', 0.8), ('kist', 0.6666666666666666), ('unist', 0.6)]"
ho chi minh city university of industry and trade,,ho chi minh city university of industry and trade,,,unmapped,,[]
honeywell,,honeywell,,,suggested,,"[('cornell', 0.625)]"
honeywell connected enterprise,,honeywell connected enterprise,,,unmapped,,[]
honeywell fmandt,,honeywell fmandt,,,unmapped,,[]
honeywell uop,,honeywell uop,,,unmapped,,[]
hope college,,hope college,,,suggested,,"[('lafayette college', 0.6206896551724138), ('dartmouth college', 0.6206896551724138)]"
houston methodist,,houston methodist,,,unmapped,,[]
hovione,,hovione,,,unmapped,,[]
hovione farmaciencia  s a,,hovione farmaciencia  s a,,,unmapped,,[]
hovione farmaciencia s a,,hovione farmaciencia s a,,,unmapped,,[]
hovione farmaciencia sa,,hovione farmaciencia sa,,,unmapped,,[]
hovione farmaciência,,hovione farmaciência,,,unmapped,,[]
hovione farmaciência s a,,hovione farmaciência s a,,,unmapped,,[]
hovione farmaciência sa,,hovione farmaciência sa,,,unmapped,,[]
howard hughes medical institute,,howard hughes medical institute,,,unmapped,,[]
human-centered sensing laboratory  eth zurich,,human-centered sensing laboratory  eth zurich,,,unmapped,,[]
ials consulting,,ials consulting,,,suggested,,"[('process consultant', 0.6060606060606061)]"
icahn school of medicine at mount sinai,,icahn school of medicine at mount sinai,,,unmapped,,[]
ifce,,ifce,,,suggested,,"[('aiche', 0.6666666666666666)]"
ifp energies nouvelles,,ifp energies nouvelles,,,unmapped,,[]
ifpen,,ifpen,,,suggested,,"[('riken', 0.6)]"
iit guwahati,,iit guwahati,,,unmapped,,[]
iit mumbai,,iit mumbai,,,suggested,,"[('iit madras', 0.6)]"
iit roorkee,,iit roorkee,,,unmapped,,[]
iit-jammu,,iit-jammu,,,unmapped,,[]
iitb,,iitb,,,unmapped,,[]
iith,,iith,,,unmapped,,[]
iitm,,iitm,,,suggested,,"[('instm', 0.6666666666666666)]"
illinois state geological survey,,illinois state geological survey,,,suggested,,"[('illinois state university', 0.6666666666666666)]"
illinois tech,,illinois tech,,,unmapped,,[]
ima life north america,,ima life north america,,,unmapped,,[]
imed ulisboa  faculty of pharmacy  university of lisbon,,imed ulisboa  faculty of pharmacy  university of lisbon,,,unmapped,,[]
imperial college london  south kensington,,imperial college london  south kensington,,,suggested,,"[('imperial college london', 0.71875), ('medical college of wisconsin', 0.5217391304347826)]"
independent researcher,,independent researcher,,,suggested,,"[('nasa glenn research center', 0.625), ('ibm almaden research center', 0.6122448979591837)]"
indian   institute of science education and research  bhopal,,indian   institute of science education and research  bhopal,,,suggested,,"[('srm institute of science and technology', 0.6262626262626263), ('indian institute of science', 0.6206896551724138), ('korea advanced institute of science and technology', 0.6181818181818182), ('korean institute science and technology', 0.6060606060606061)]"
indian institute of science education and research  bhopal,,indian institute of science education and research  bhopal,,,suggested,,"[('srm institute of science and technology', 0.6391752577319587), ('indian institute of science', 0.6352941176470588), ('korea advanced institute of science and technology', 0.6296296296296297), ('korean institute science and technology', 0.6185567010309279)]"
indian institute of technology kharagpur kharagpur,,indian institute of technology kharagpur kharagpur,,,suggested,,"[('indian institute of technology bhu varanasi', 0.7741935483870968), ('indian institute of technology roorkee', 0.7272727272727273), ('indian institute of technology ropar', 0.7674418604651163), ('indian institute of technology jammu', 0.7674418604651163), ('indian institute of technology delhi', 0.7441860465116279)]"
indian institute of technology roorkee  uttarakhand  india,,indian institute of technology roorkee  uttarakhand  india,,,suggested,,"[('indian institute of technology roorkee', 0.7916666666666666), ('indian institute of technology ropar', 0.7446808510638298), ('indian institute of technology guwahati', 0.7422680412371134), ('indian institute of technology bhu varanasi', 0.7326732673267327), ('indian institute of technology delhi', 0.723404255319149)]"
indian oil corporation ltd  randd centre,,indian oil corporation ltd  randd centre,,,unmapped,,[]
industrial technology research institute,,industrial technology research institute,,,unmapped,,[]
infineum uk ltd,,infineum uk ltd,,,unmapped,,[]
ingredion incorporated,,ingredion incorporated,,,suggested,,"[('eaton corporation', 0.6153846153846154), ('evonik corporation', 0.6)]"
innovation center - abu dhabi  siemens energy llc,,innovation center - abu dhabi  siemens energy llc,,,unmapped,,[]
innovation center - orlando  siemens energy inc,,innovation center - orlando  siemens energy inc,,,unmapped,,[]
institut charles gerhardt montpellier  université de montpellier  cnrs  enscm 34293,,institut charles gerhardt montpellier  université de montpellier  cnrs  enscm 34293,,,unmapped,,[]
institut cochin  inserm,,institut cochin  inserm,,,unmapped,,[]
institut des matériaux poreux de paris  ecole normale supérieure de paris  espci paris  cnrs  psl university,,institut des matériaux poreux de paris  ecole normale supérieure de paris  espci paris  cnrs  psl university,,,unmapped,,[]
institut des matériaux poreux de paris  espci paris  ecole normale supérieure  cnrs  psl university  75005,,institut des matériaux poreux de paris  espci paris  ecole normale supérieure  cnrs  psl university  75005,,,unmapped,,[]
institute for a sustainable hydrogen economy   forschungszentrum jülich,,institute for a sustainable hydrogen economy   forschungszentrum jülich,,,unmapped,,[]
institute for basic science,,institute for basic science,,,suggested,,"[('institute of science tokyo', 0.7169811320754716), ('indian institute of science', 0.7037037037037037)]"
institute for biomedical engineering and institute of pharmacology and toxicology,,institute for biomedical engineering and institute of pharmacology and toxicology,,,unmapped,,[]
institute for carbon management,,institute for carbon management,,,unmapped,,[]
institute for chemical technology and polymer chemistry  karlsruhe institute of technology,,institute for chemical technology and polymer chemistry  karlsruhe institute of technology,,,unmapped,,[]
institute for energy and materials  universidad san francisco de quito usfq,,institute for energy and materials  universidad san francisco de quito usfq,,,suggested,,"[('universidad san francisco de quito', 0.6238532110091743)]"
institute for lasers  photonics and biophotonics  university at buffalo,,institute for lasers  photonics and biophotonics  university at buffalo,,,unmapped,,[]
institute for protein design,,institute for protein design,,,unmapped,,[]
institute for regenerative medicine  wake forest school of medicine,,institute for regenerative medicine  wake forest school of medicine,,,suggested,,"[('wake forest school of medicine', 0.6185567010309279)]"
institute for sustainability and circular economy  texas tech university,,institute for sustainability and circular economy  texas tech university,,,unmapped,,[]
institute for sustainable materials and manufacturing,,institute for sustainable materials and manufacturing,,,unmapped,,[]
institute for the development of energy for african sustainability,,institute for the development of energy for african sustainability,,,unmapped,,[]
institute of applied biosciences  centre for research and technology hellas  thessaloniki  greece,,institute of applied biosciences  centre for research and technology hellas  thessaloniki  greece,,,unmapped,,[]
institute of automation and control  graz university of technology,,institute of automation and control  graz university of technology,,,suggested,,"[('national university of technology', 0.6666666666666666), ('south china university of technology', 0.5490196078431373), ('graz university of technology', 0.6105263157894737), ('eindhoven university of technology', 0.58), ('clausthal university of technology', 0.58)]"
institute of automation and control  tu graz,,institute of automation and control  tu graz,,,unmapped,,[]
institute of biotechnology and genetic engineering  chulalongkorn university,,institute of biotechnology and genetic engineering  chulalongkorn university,,,unmapped,,[]
institute of chemical process systems engineering  school of chemical engineering,,institute of chemical process systems engineering  school of chemical engineering,,,unmapped,,[]
institute of chemical research of catalonia,,institute of chemical research of catalonia,,,suggested,,"[('institute of chemical technology mumbai', 0.7073170731707317), ('tata institute of fundamental research', 0.6172839506172839), ('vtt technical research centre of finland', 0.6024096385542169)]"
institute of hydrodynamics of the cas,,institute of hydrodynamics of the cas,,,unmapped,,[]
institute of macromolecular compounds of the russian academy of sciences,,institute of macromolecular compounds of the russian academy of sciences,,,unmapped,,[]
institute of particle technology,,institute of particle technology,,,suggested,,"[('institute of chemical technology mumbai', 0.7605633802816901), ('tokyo institute of technology', 0.7540983606557377), ('kyoto institute of technology', 0.7540983606557377), ('izmir institute of technology', 0.7540983606557377), ('chiba institute of technology', 0.7540983606557377)]"
institute of separation science and technology  friedrich-alexander-university erlangen-nürnberg,,institute of separation science and technology  friedrich-alexander-university erlangen-nürnberg,,,suggested,,"[('friedrich-alexander-universität erlangen-nürnberg', 0.6482758620689655)]"
institute of separation science and technology  university erlangen-nürnberg  de,,institute of separation science and technology  university erlangen-nürnberg  de,,,unmapped,,[]
institute of sustainability for chemicals  energy and environment,,institute of sustainability for chemicals  energy and environment,,,unmapped,,[]
institute of technical and macromolecular chemistry   rwth aachen university,,institute of technical and macromolecular chemistry   rwth aachen university,,,unmapped,,[]
institute of zhejiang university-quzhou,,institute of zhejiang university-quzhou,,,suggested,,"[('zhejiang university', 0.6551724137931034), ('xian jiaotong university', 0.6031746031746031)]"
institution los alamos national laboratory,,institution los alamos national laboratory,,,suggested,,"[('los alamos national laboratory', 0.8333333333333334), ('idaho national laboratory', 0.6567164179104478), ('brookhaven national laboratory', 0.5833333333333334), ('argonne national laboratory', 0.6376811594202898), ('sandia national laboratories', 0.6)]"
instituto de ciencias aplicadas y tecnología,,instituto de ciencias aplicadas y tecnología,,,suggested,,"[('srm institute of science and technology', 0.6506024096385542), ('korean institute science and technology', 0.6506024096385542)]"
instituto de desarrollo tecnológico para la industria química  intec,,instituto de desarrollo tecnológico para la industria química  intec,,,unmapped,,[]
instituto de investigaciones biomédicas  unam,,instituto de investigaciones biomédicas  unam,,,suggested,,"[('consejo superior de investigaciones científicas', 0.6304347826086957)]"
instituto de investigaciones biomédicas  universidad nacional autónoma de méxico,,instituto de investigaciones biomédicas  universidad nacional autónoma de méxico,,,unmapped,,[]
instituto de química de são carlos universidade de são paulo,,instituto de química de são carlos universidade de são paulo,,,unmapped,,[]
instituto de tecnología química  universitat politècnica de valència-consejo superior de investigaciones científicas,,instituto de tecnología química  universitat politècnica de valència-consejo superior de investigaciones científicas,,,unmapped,,[]
instituto polite cnico nacional,,instituto polite cnico nacional,,,unmapped,,[]
instituto politecnico nacional,,instituto politecnico nacional,,,unmapped,,[]
instituto politecnico nacional-esiqie,,instituto politecnico nacional-esiqie,,,unmapped,,[]
instituto politécnico nacional,,instituto politécnico nacional,,,unmapped,,[]
instituto superior técnico  universidade de lisboa,,instituto superior técnico  universidade de lisboa,,,suggested,,"[('universidade de lisboa', 0.6111111111111112)]"
instituto tecnológico de aguascalientes,,instituto tecnológico de aguascalientes,,,unmapped,,[]
intec,,intec,,,suggested,,"[('sinopec', 0.6666666666666666), ('imec', 0.6666666666666666), ('linde', 0.6), ('instm', 0.6)]"
interdisciplinary research center for membranes and water security  king fahd university of petroleum and minerals,,interdisciplinary research center for membranes and water security  king fahd university of petroleum and minerals,,,unmapped,,[]
international institute for nanotechnology,,international institute for nanotechnology,,,suggested,,"[('technion israel institute of technology', 0.7654320987654321), ('national institute of standards and technology', 0.75), ('kth royal institute of technology', 0.7466666666666667), ('visvesvaraya national institute of technology nagpur', 0.723404255319149), ('georgia institute of technology', 0.684931506849315)]"
international maritime college oman,,international maritime college oman,,,unmapped,,[]
international maritime college oman  curtin uni,,international maritime college oman  curtin uni,,,unmapped,,[]
ionomr innovations inc,,ionomr innovations inc,,,unmapped,,[]
iran university of medical science,,iran university of medical science,,,suggested,,"[('university of maine', 0.6037735849056604), ('university of texas medical branch', 0.7058823529411765), ('the university of maine', 0.5964912280701754), ('soka university of america', 0.7), ('university of miami', 0.6792452830188679)]"
iran university of medical sciences,,iran university of medical sciences,,,suggested,,"[('university of maine', 0.5925925925925926), ('university of texas medical branch', 0.6956521739130435), ('the university of maine', 0.5862068965517241), ('soka university of america', 0.6885245901639344), ('washington university school of medicine', 0.64)]"
isgs,,isgs,,,unmapped,,[]
isis neutron and muon source,,isis neutron and muon source,,,unmapped,,[]
iso iec joint technical committee - quantum technologies,,iso iec joint technical committee - quantum technologies,,,unmapped,,[]
israel institute of technology technion,,israel institute of technology technion,,,suggested,,"[('indian institute of technology delhi', 0.8), ('technion israel institute of technology', 0.7692307692307693), ('izmir institute of technology', 0.7647058823529411), ('chiba institute of technology', 0.7647058823529411), ('kth royal institute of technology', 0.75)]"
it power australia,,it power australia,,,unmapped,,[]
itq,,itq,,,unmapped,,[]
jacobs technology inc,,jacobs technology inc,,,suggested,,"[('aspen technology inc.', 0.8095238095238095), ('em ai technology', 0.6486486486486487), ('shell technology center', 0.6363636363636364), ('freeman technology', 0.6153846153846154)]"
jfe steel corporation,,jfe steel corporation,,,suggested,,"[('eaton corporation', 0.7368421052631579), ('basf corporation', 0.7027027027027027), ('evonik corporation', 0.6666666666666666)]"
jhu,,jhu,,,unmapped,,[]
john house consulting services,,john house consulting services,,,unmapped,,[]
johns hopkins applied physics laboratory,,johns hopkins applied physics laboratory,,,suggested,,"[('johns hopkins university', 0.625)]"
johns hopkins bloomberg school of public health,,johns hopkins bloomberg school of public health,,,unmapped,,[]
johns hopkins school of medicine,,johns hopkins school of medicine,,,suggested,,"[('wake forest school of medicine', 0.6774193548387096), ('washington university school of medicine', 0.6388888888888888), ('penn state college of medicine', 0.6129032258064516)]"
johns hopkins university applied physics laboratory,,johns hopkins university applied physics laboratory,,,suggested,,"[('johns hopkins university', 0.64)]"
johns hopkins university school of medicine,,johns hopkins university school of medicine,,,suggested,,"[('washington university school of medicine', 0.7951807228915663), ('johns hopkins university', 0.7164179104477612), ('wake forest school of medicine', 0.6027397260273972), ('soka university of america', 0.6086956521739131), ('the university of maine', 0.6060606060606061)]"
johnson matthey technology centre,,johnson matthey technology centre,,,suggested,,"[('shell technology center', 0.7142857142857143), ('johnson matthey', 0.625)]"
johnson screens  inc,,johnson screens  inc,,,unmapped,,[]
joint bioenergy institute,,joint bioenergy institute,,,unmapped,,[]
joint bioenergy institute  emeryville  ca 94608 and sandia national laboratories  livermore  ca,,joint bioenergy institute  emeryville  ca 94608 and sandia national laboratories  livermore  ca,,,unmapped,,[]
joint center for energy storage research,,joint center for energy storage research,,,unmapped,,[]
joint school of nanoscience and nanoengineering  nc aandt state university,,joint school of nanoscience and nanoengineering  nc aandt state university,,,unmapped,,[]
jsol corporation,,jsol corporation,,,suggested,,"[('basf corporation', 0.8125), ('eaton corporation', 0.7878787878787878), ('evonik corporation', 0.7647058823529411)]"
kanagawa academy of science and technology,,kanagawa academy of science and technology,,,suggested,,"[('pohang university of science and technology', 0.7529411764705882), ('university of science and technology', 0.7435897435897436), ('east china university of science and technology', 0.7191011235955056), ('norwegian university of science and technology', 0.7045454545454546), ('hong kong university of science and technology', 0.7272727272727273)]"
kaneka corporation,,kaneka corporation,,,suggested,,"[('eaton corporation', 0.8), ('evonik corporation', 0.7222222222222222), ('basf corporation', 0.7647058823529411)]"
kangwon national university  samcheok campus,,kangwon national university  samcheok campus,,,suggested,,"[('kangwon national university', 0.7605633802816901), ('hankyong national university', 0.6666666666666666), ('kyungpook national university', 0.6575342465753424), ('kongju national university', 0.6571428571428571), ('pukyong national university', 0.647887323943662)]"
kansas university medical center,,kansas university medical center,,,suggested,,"[('university of mississippi medical center', 0.6944444444444444), ('soka university of america', 0.6551724137931034), ('university of connecticut health center', 0.647887323943662), ('university of rochester', 0.5454545454545454), ('kansas state university', 0.6181818181818182)]"
karolinska institutet,,karolinska institutet,,,unmapped,,[]
kbc advanced technologies inc,,kbc advanced technologies inc,,,suggested,,"[('aspen technology inc.', 0.64)]"
kbr inc,,kbr inc,,,unmapped,,[]
kenexis,,kenexis,,,unmapped,,[]
key laboratory of coal gasification and energy chemical engineering of ministry of education  shanghai engineering research center of coal gasification  east china university of science and technology,,key laboratory of coal gasification and energy chemical engineering of ministry of education  shanghai engineering research center of coal gasification  east china university of science and technology,,,unmapped,,[]
key laboratory of functional inorganic materials chemistry   ministry of education  school of chemistry and materials science  international joint research center and lab for catalytic technology  harbin 150080  pr china,,key laboratory of functional inorganic materials chemistry   ministry of education  school of chemistry and materials science  international joint research center and lab for catalytic technology  harbin 150080  pr china,,,unmapped,,[]
kfupm,,kfupm,,,unmapped,,[]
king abdullah university of science and technology,,king abdullah university of science and technology,,,suggested,,"[('pohang university of science and technology', 0.8387096774193549), ('university of science and technology', 0.8372093023255814), ('norwegian university of science and technology', 0.8125), ('hong kong university of science and technology', 0.8333333333333334), ('hebei university of science and technology', 0.8260869565217391)]"
king khalid university,,king khalid university,,,suggested,,"[('inha university', 0.8108108108108109), ('tunghai university', 0.8), ('khalifa university', 0.8), ('tsinghua university', 0.7804878048780488), ('miami university', 0.7368421052631579)]"
king s college london,,king s college london,,,suggested,,"[('imperial college london', 0.7272727272727273)]"
king saud bin abdulaziz university for health sciences  and king abdullah international medical research center  ministry of national guard health affairs,,king saud bin abdulaziz university for health sciences  and king abdullah international medical research center  ministry of national guard health affairs,,,unmapped,,[]
kinga abdullah university of science and technology,,kinga abdullah university of science and technology,,,suggested,,"[('pohang university of science and technology', 0.8297872340425532), ('university of science and technology', 0.8275862068965517), ('norwegian university of science and technology', 0.8041237113402062), ('hong kong university of science and technology', 0.8247422680412371), ('hebei university of science and technology', 0.8172043010752689)]"
kitech,,kitech,,,suggested,,"[('koreatech', 0.6666666666666666), ('kist', 0.6), ('imec', 0.6)]"
koch institute for integrative cancer research,,koch institute for integrative cancer research,,,unmapped,,[]
kookmin university,,kookmin university,,,suggested,,"[('koc university', 0.8125), ('tohoku university', 0.8), ('ohio university', 0.7878787878787878), ('inha university', 0.7878787878787878), ('old dominion university', 0.7804878048780488)]"
korea institute of energy research,,korea institute of energy research,,,suggested,,"[('korea institute of energy technology', 0.8285714285714286), ('tata institute of fundamental research', 0.7222222222222222), ('indian institute of technology ropar', 0.6571428571428571), ('korea institute of industrial technology', 0.6216216216216216), ('korean institute science and technology', 0.5753424657534246)]"
