label,A_sep,A_uniq,B_authors,C_abstracts
qatar environment and energy research institute  hamad bin khalifa university  qatar foundation  p o  box 34110,2,1,4,1
reaction engineering international,2,1,4,1
telescope innovations corp,2,1,4,1
universite de pau et des pays de l adour  e2s uppa  latep,2,1,4,1
université claude bernard lyon i,2,1,4,1
TU Delft,2,1,3,4
alice - associate laboratory in chemical engineering  faculty of engineering  university of porto,2,1,3,4
University of Science and Technology,2,1,3,3
institute of separation science and technology  friedrich-alexander-university erlangen-nürnberg,2,1,3,3
ucl,2,1,3,3
Georgia Southern University,2,1,3,2
Lund University,2,1,3,2
Manchester University,2,1,3,2
Procter and Gamble Co.,2,1,3,2
georgetown university,2,1,3,2
soochow university,2,1,3,2
Johnson Matthey,2,1,3,1
anton paar gmbh,2,1,3,1
ardent process technologies,2,1,3,1
curtin university,2,1,3,1
department of chemical and biomolecular engineering  new york university tandon school of engineering  brooklyn  new york  11201  usa,2,1,3,1
dr vishwanath karad mit world peace university,2,1,3,1
meltprep,2,1,3,1
national tsing hua university,2,1,3,1
nl chemical technology  inc,2,1,3,1
particulate solid research  inc,2,1,3,1
qatar environment and energy research institute,2,1,3,1
samsung advanced institute of technology,2,1,3,1
sinopec research institute of petroleum processing,2,1,3,1
south asian university,2,1,3,1
university of twente,2,1,3,1
yamaguchi university,2,1,3,1
suncat center for interface science and catalysis  slac national accelerator laboratory,2,1,2,9
State University of New York Environmental Science,2,1,2,5
department of chemical engineering  university of michigan,2,1,2,5
Siddaganga Institute of Technology,2,1,2,3
center for structural molecular biology  oak ridge national laboratory,2,1,2,3
exxonmobil technology and engineering,2,1,2,3
university of puerto rico medical science campus,2,1,2,3
Aarhus University,2,1,2,2
Chevron Research,2,1,2,2
ORNL,2,1,2,2
center for environmentally beneficial catalysis,2,1,2,2
department of chemical and biomolecular engineering  university of delaware  newark,2,1,2,2
guangzhou institute of energy conversion  chinese academy of sciences,2,1,2,2
institute of biotechnology and genetic engineering  chulalongkorn university,2,1,2,2
m-star cfd,2,1,2,2
ncsu,2,1,2,2
new york university  tandon school of engineering,2,1,2,2
pacific northwest national laboratory  richland  wa,2,1,2,2
process systems engineering   rwth aachen university,2,1,2,2
shell international eandp,2,1,2,2
spx flow mixing solutions,2,1,2,2
Braskem America,2,1,2,1
FAU,2,1,2,1
Indian Institute of Technology Guwahati,2,1,2,1
Kyoto Institute of Technology,2,1,2,1
Merck Sharp & Dohme,2,1,2,1
National Chemical Laboratory,2,1,2,1
Schrödinger,2,1,2,1
VTT Technical Research Centre of Finland,2,1,2,1
Visvesvaraya National Institute of Technology Nagpur,2,1,2,1
Yantai University,2,1,2,1
bits pilani k k birla goa campus,2,1,2,1
chapman university,2,1,2,1
climeworks,2,1,2,1
corning incorporated,2,1,2,1
csir - indian institute of chemical technology,2,1,2,1
harvey mudd college,2,1,2,1
institute for sustainability and circular economy  texas tech university,2,1,2,1
instituto polite cnico nacional,2,1,2,1
matrix sensors  inc,2,1,2,1
national energy technology laboratory netl support contractor,2,1,2,1
natural resources canada  canmetenergy,2,1,2,1
nc state,2,1,2,1
pfizer worldwide research and development  445 eastern point road  groton  connecticut 06340  usa,2,1,2,1
preferred computational chemistry,2,1,2,1
purdue university institute of cancer research,2,1,2,1
rice,2,1,2,1
rose-hulman institute of technology,2,1,2,1
rutgers  the state university of new jersey- new brunswick,2,1,2,1
the university of texas at san antonio,2,1,2,1
totalenergies cstjf,2,1,2,1
wageningen university and research,2,1,2,1
École Normale Superieure de Lyon,2,1,2,1
worldwide research and development  pfizer products india pvt ltd,2,1,1,4
Altair Engineering,2,1,1,3
Bogazici University,2,1,1,3
california inst of technology,2,1,1,3
department of chemical engineering  texas aandm university at qatar p  o  box 23874,2,1,1,3
institute for chemical technology and polymer chemistry  karlsruhe institute of technology,2,1,1,3
ningbo tech university,2,1,1,3
rutgers  the state university of nj,2,1,1,3
salvador garcia munoz eli lilly and company,2,1,1,3
Anton Paar,2,1,1,2
IIT (ISM) Dhanbad,2,1,1,2
c-sops  department of chemical and biochemical engineering  rutgers  the state university of new jersey,2,1,1,2
doe great lakes bioenergy research center  university of wisconsin-madison,2,1,1,2
israel institute of technology technion,2,1,1,2
max planck institute for dynamics of complex technical system,2,1,1,2
national fuel cell research center,2,1,1,2
the chemours company,2,1,1,2
university of utah  assistant professor,2,1,1,2
vivodyne  inc,2,1,1,2
Alterra,2,1,1,1
"BIT Mesra, Ranchi - 835215",2,1,1,1
Celanese,2,1,1,1
Duquesne University,2,1,1,1
Evonik Corporation,2,1,1,1
"Faculdade de Engenharia, Universidade do Porto",2,1,1,1
Freeman Technology,2,1,1,1
Independent Consultant,2,1,1,1
Inga Group,2,1,1,1
KOREATECH,2,1,1,1
King Mongkut's Institute of Technology Ladkrabang,2,1,1,1
McGill University,2,1,1,1
National University of Technology,2,1,1,1
Pontificia Universidad Catolica de Chile,2,1,1,1
SINOPEC,2,1,1,1
Southern Arkansas University,2,1,1,1
Southwest University,2,1,1,1
Syntegon Technology GmbH,2,1,1,1
Tunghai University,2,1,1,1
U.S. Army,2,1,1,1
University of Southern Maine,2,1,1,1
University of Wisconsin,2,1,1,1
University of Wisconsin-Milwaukee,2,1,1,1
Western Kentucky University,2,1,1,1
accenture,2,1,1,1
advanced cooling technologies  inc,2,1,1,1
aix marseille university,2,1,1,1
alexandria university and egyptian russian university,2,1,1,1
amyris,2,1,1,1
arish university and egyptian russian university,2,1,1,1
armi biofab usa,2,1,1,1
badr university in cairo,2,1,1,1
barnard college,2,1,1,1
biofine technology llc,2,1,1,1
butler university,2,1,1,1
california baptist university,2,1,1,1
carnegie mellon univeristy,2,1,1,1
ccny grove school of engineering,2,1,1,1
center for synthetic biology,2,1,1,1
central south university,2,1,1,1
chemical and biomolecular engineering  university of delaware,2,1,1,1
chevron technical center,2,1,1,1
citrine informatics,2,1,1,1
coanda research and development corporation,2,1,1,1
colorado school of mines - cbe,2,1,1,1
cooper union for the advancement of science and art,2,1,1,1
david a  rockstraw  ph  d   p  e   inc,2,1,1,1
department of chemical engineering  university of california-santa barbara,2,1,1,1
department of chemical engineering tsinghua university,2,1,1,1
digital medicines manufacturing  loughborough university,2,1,1,1
doe ne,2,1,1,1
dps group global,2,1,1,1
drury university,2,1,1,1
embry-riddle aeronautical university,2,1,1,1
energy and environmental research center,2,1,1,1
engineering science,2,1,1,1
escola politécnica da universidade de são paulo,2,1,1,1
exxon mobil research and engineering,2,1,1,1
exxonmobil chemical company,2,1,1,1
facultad de química,2,1,1,1
genetic engineering and biotechnology research division  national research centre,2,1,1,1
global manufacturing engineer iff,2,1,1,1
google,2,1,1,1
guangzhou institute of energy conversion,2,1,1,1
gyeongsang national university,2,1,1,1
harris lab at purdue university,2,1,1,1
hiroshima university at japan,2,1,1,1
honeywell uop,2,1,1,1
ials consulting,2,1,1,1
iith,2,1,1,1
indian institute of technology kharagpur kharagpur,2,1,1,1
ingredion incorporated,2,1,1,1
institute for carbon management,2,1,1,1
institute of sustainability for chemicals  energy and environment,2,1,1,1
intec,2,1,1,1
international maritime college oman,2,1,1,1
jhu,2,1,1,1
karolinska institutet,2,1,1,1
laboratoire réactions et génie des procédés  université de lorraine  cnrs,2,1,1,1
massachusets institute of technology,2,1,1,1
max-planck-institute for dynamics of complex technical systems,2,1,1,1
mdn,2,1,1,1
micromeritics instrument corp,2,1,1,1
mit energy initiative,2,1,1,1
mit energy initiative  massachusetts institute of technology,2,1,1,1
nasa ames research center - kbr  inc,2,1,1,1
nexight group,2,1,1,1
noaa pmel,2,1,1,1
novo nordisk,2,1,1,1
oli systems  inc,2,1,1,1
particles in motion,2,1,1,1
pd2m,2,1,1,1
pfizer  inc,2,1,1,1
pluspetrol,2,1,1,1
posgrado en ciencias bioquímicas  unam,2,1,1,1
psu,2,1,1,1
rajiv gandhi institute of petroleum technology,2,1,1,1
rapid manufacturing institute,2,1,1,1
remora carbon,2,1,1,1
rescale,2,1,1,1
rollins college,2,1,1,1
rowan-virtua school of translational biomedical engineering and sciences,2,1,1,1
s p college,2,1,1,1
sandp global,2,1,1,1
school of chemical and biomolecular engineering,2,1,1,1
school of chemical engineering  dalian university of technology,2,1,1,1
science history institute,2,1,1,1
singapore university of technology and design,2,1,1,1
snapdragon chemistry-cambrex,2,1,1,1
software for chemistry and materials,2,1,1,1
spartan controls ltd,2,1,1,1
state univ of new york-buffalo,2,1,1,1
swinburne univ of technology,2,1,1,1
taiyo nippon sanso corporation,2,1,1,1
texas a and m,2,1,1,1
the webb schools,2,1,1,1
u s dept  of energy,2,1,1,1
ucr,2,1,1,1
umass amherst,2,1,1,1
unal-med student chapter in colombia,2,1,1,1
universidad autónoma metropolitana unidad iztapalapa,2,1,1,1
universidad nacional mayor de san marcos,2,1,1,1
universite de toulouse,2,1,1,1
university of florida student chapter,2,1,1,1
university of natural resources and life sciences,2,1,1,1
university of tennessee oak ridge national lab,2,1,1,1
université de lorraine,2,1,1,1
us doe national energy technology laboratory,2,1,1,1
usda-ars,2,1,1,1
varda space industries,2,1,1,1
whitehead institute,2,1,1,1
Australian National University,0,0,11,2
shell global solutions international b v,0,0,8,5
air products and chemicals  inc,0,0,8,3
hiroshima university,0,0,8,2
singapore-mit alliance for research and technology,0,0,8,1
takeda pharmaceuticals international co,0,0,7,7
nyu college of dentistry,0,0,7,3
svante inc,0,0,7,2
swedish environmental research institute,0,0,7,1
Memorial University,0,0,6,4
ansys inc,0,0,6,4
BASF SE,0,0,6,3
chung-ang university,0,0,6,2
university of colorado school of medicine,0,0,6,2
eastern regional research center  usda-ars,0,0,6,1
université de lyon,0,0,6,1
Dow Chemical,0,0,5,4
BASF,0,0,5,3
Mayo Clinic,0,0,5,3
University of Pavia,0,0,5,3
washington river protection solutions,0,0,5,3
Braskem S.A.,0,0,5,2
Hampton University,0,0,5,2
university of new mexico school of medicine,0,0,5,2
UND,0,0,5,1
innovation center - orlando  siemens energy inc,0,0,5,1
oldendorff carriers,0,0,5,1
pfizer global supply,0,0,5,1
utrecht university,0,0,4,5
National Research Council (CNR),0,0,4,3
University of Nebraska,0,0,4,3
Washington University School of Medicine,0,0,4,3
engineering and process science  core randd  the dow chemical company,0,0,4,3
university of michigan ann arbor,0,0,4,3
Air Liquide,0,0,4,2
Harbin Institute of Technology,0,0,4,2
Manchester Metropolitan University,0,0,4,2
cnrs,0,0,4,2
schepens eye research institute of mass  eye and ear,0,0,4,2
usda,0,0,4,2
Cardiff University,0,0,4,1
Maastricht University,0,0,4,1
University of Connecticut Health Center,0,0,4,1
institut cochin  inserm,0,0,4,1
mitsubishi electric research laboratories,0,0,4,1
oregon health and science university,0,0,4,1
polymat institute - university of the basque country upv ehu,0,0,4,1
robinson research institute,0,0,4,1
shell international exploration and production,0,0,4,1
temasek life sciences laboratory,0,0,4,1
the university of texas aandm,0,0,4,1
uniformed services university of the health sciences,0,0,4,1
university of tennessee knoxville,0,0,4,1
cu boulder,0,0,3,5
University of Southern Mississippi,0,0,3,3
carleton college,0,0,3,3
the university of chicago,0,0,3,3
unam,0,0,3,3
National Academy of Sciences of Ukraine,0,0,3,2
National Center for Agricultural Utilization Research,0,0,3,2
University of California San Francisco,0,0,3,2
University of Sydney,0,0,3,2
agilent technologies,0,0,3,2
center for biofilm engineering,0,0,3,2
charles university,0,0,3,2
instituto tecnológico de aguascalientes,0,0,3,2
joint bioenergy institute,0,0,3,2
linde plc,0,0,3,2
md anderson cancer center,0,0,3,2
microsoft research,0,0,3,2
sintef energy research,0,0,3,2
zaiput flow technologies,0,0,3,2
Hacettepe University,0,0,3,1
Hyundai Motor Company,0,0,3,1
Pittsburg State University,0,0,3,1
Széchenyi István University,0,0,3,1
Universidad Autónoma de San Luis Potosí,0,0,3,1
University of Tartu,0,0,3,1
Western University,0,0,3,1
air products and chemicals,0,0,3,1
basf se  group research,0,0,3,1
battelle,0,0,3,1
bernard and irene schwartz center for biomedical imaging  department of radiology  new york university grossman school of medicine  new york  new york  10016  usa,0,0,3,1
biopharm services,0,0,3,1
corning gmbh,0,0,3,1
dell medical school  the university of texas at austin,0,0,3,1
doe great lakes bioenergy research center,0,0,3,1
electric power research institute,0,0,3,1
fractionation research inc,0,0,3,1
fundamental ai research   meta,0,0,3,1
general motors corporation,0,0,3,1
harvard college,0,0,3,1
ima life north america,0,0,3,1
infineum uk ltd,0,0,3,1
institute of chemical research of catalonia,0,0,3,1
jfe steel corporation,0,0,3,1
laboratory for laser energetics,0,0,3,1
lelantos inc,0,0,3,1
massachusetts general hospital,0,0,3,1
parthian battery solutions,0,0,3,1
polymat and department of applied chemistry  university of the basque country upv ehu,0,0,3,1
shell global solutions,0,0,3,1
tu darmstadt,0,0,3,1
uc riverside,0,0,3,1
uconn health,0,0,3,1
universidade federal de minas gerais,0,0,3,1
university of massachusetts medical school,0,0,3,1
university of toulouse  imt mines albi  umr cnrs 5302  rapsodee centre  campus jarlard  albi cedex 09 f-81013,0,0,3,1
université de lorraine  cnrs,0,0,3,1
valgotech llc,0,0,3,1
National Institute for Public Health and the Environment,0,0,3,0
Eli Lilly,0,0,2,4
stanford synchrotron radiation lightsource  slac national accelerator laboratory,0,0,2,4
Lubrizol Advanced Materials,0,0,2,3
Pfizer Canada,0,0,2,3
lisn cnrs,0,0,2,3
national energy technology laboratory  u s  department of energy,0,0,2,3
oak ridge national lab - oak ridge  tn,0,0,2,3
singapore-mit alliance for research and technology  centre,0,0,2,3
texas aandm energy institute  texas aandm university,0,0,2,3
university of rochester medical center,0,0,2,3
American University of Beirut,0,0,2,2
AstraZeneca,0,0,2,2
Avnos,0,0,2,2
BASF Corporation,0,0,2,2
EARTH University,0,0,2,2
Norwegian University of Science and Technology,0,0,2,2
Shell,0,0,2,2
Shiv Nadar University,0,0,2,2
Southern University of Science and Technology,0,0,2,2
Universidad de Carabobo,0,0,2,2
University of Bremen,0,0,2,2
University of Sharjah,0,0,2,2
advanced science research center at the cuny graduate center,0,0,2,2
bernal institute  university of limerick,0,0,2,2
chevron energy technology company,0,0,2,2
department of chemical engineering  biotechnology and materials  centre for biotechnology and bioengineering  cebib  university of chile,0,0,2,2
department of forest biomaterials  college of natural resources  north carolina state university,0,0,2,2
fraunhofer imte,0,0,2,2
giv group,0,0,2,2
imec,0,0,2,2
institute of particle technology,0,0,2,2
johnson matthey technology centre,0,0,2,2
linde gmbh  linde engineering,0,0,2,2
merck and co   inc   rahway  nj  usa,0,0,2,2
national energy technology laboratory lrst,0,0,2,2
naval research laboratory,0,0,2,2
penn state health milton s  hershey medical center,0,0,2,2
renewable and sustainable energy institute  university of colorado,0,0,2,2
sarepta therapeutics,0,0,2,2
shell india market private limited,0,0,2,2
state university of new york college of environmental science and forestry,0,0,2,2
univ  of patras and abu dhabi university,0,0,2,2
univeristy of texas at san antonio,0,0,2,2
universidade de são paulo,0,0,2,2
university of maryland school of medicine,0,0,2,2
wake health,0,0,2,2
123zero d o o,0,0,2,1
2  isis neutron and muon source,0,0,2,1
Arkema,0,0,2,1
AstraZeneca UK,0,0,2,1
CASALE SA,0,0,2,1
Dalhousie University,0,0,2,1
Evonik,0,0,2,1
F. Hoffmann-La Roche,0,0,2,1
GEA,0,0,2,1
Guanajuato University,0,0,2,1
IBM Research UK,0,0,2,1
Institución Universitaria Colegio Mayor de Antioquia,0,0,2,1
Institute of Science Tokyo,0,0,2,1
Johannes Gutenberg University Mainz,0,0,2,1
Kuwait Oil Company,0,0,2,1
Loughborough university,0,0,2,1
National Yang Ming Chiao Tung University,0,0,2,1
Natural Resources Canada,0,0,2,1
PPG Industries,0,0,2,1
Pakistan Institute of Engineering and Applied Sciences,0,0,2,1
Pukyong National University,0,0,2,1
Signature Science,0,0,2,1
University of California Santa Cruz,0,0,2,1
University of Wollongong,0,0,2,1
WRPS,0,0,2,1
agency for science  technology and research,0,0,2,1
allegrow biotech,0,0,2,1
ben gurion university,0,0,2,1
bielefeld university,0,0,2,1
biostealth  inc,0,0,2,1
boehringer ingelheim pharma gmbh and co  kg,0,0,2,1
borsodchem ltd   bolyai tér 1   h-3700 kazincbarcika  hungary,0,0,2,1
brigham and women s hospital,0,0,2,1
cameron  a schlumberger company,0,0,2,1
ccdc army research laboratory,0,0,2,1
center for plastics innovation  university of delaware,0,0,2,1
city of santa monica,0,0,2,1
commonwealth scientific and industrial research organization,0,0,2,1
consolidated nuclear security  llc,0,0,2,1
department of biology,0,0,2,1
department of biology and entomology  pennsylvania state university,0,0,2,1
department of chemical engineering  technion,0,0,2,1
department of microbiology  faculty of medicine  university of chile,0,0,2,1
department of surgery  faculty of medicine in pilsen  charles university  prague  czech republic,0,0,2,1
espe,0,0,2,1
eth zurich and university of zurich,0,0,2,1
experic,0,0,2,1
forge nano inc,0,0,2,1
foth infrastructure and environment,0,0,2,1
genscript usa inc,0,0,2,1
george w  woodruff school of mechanical engineering  georgia institute of technology,0,0,2,1
houston methodist,0,0,2,1
icahn school of medicine at mount sinai,0,0,2,1
ifp energies nouvelles,0,0,2,1
institute for biomedical engineering and institute of pharmacology and toxicology,0,0,2,1
institute of separation science and technology  university erlangen-nürnberg  de,0,0,2,1
ionomr innovations inc,0,0,2,1
iran university of medical sciences,0,0,2,1
jacobs technology inc,0,0,2,1
johns hopkins bloomberg school of public health,0,0,2,1
johns hopkins school of medicine,0,0,2,1
kangwon national university  samcheok campus,0,0,2,1
kansas university medical center,0,0,2,1
lehman college  the city university of new york,0,0,2,1
licensing and professional development,0,0,2,1
max-planck institute of colloids and interfaces,0,0,2,1
media and process technology inc,0,0,2,1
memorial sloan kettering cancer center,0,0,2,1
memorial sloan-kettering cancer center,0,0,2,1
mezzo technologies,0,0,2,1
millipore sigma,0,0,2,1
moffitt cancer center,0,0,2,1
naias labs,0,0,2,1
national institute of technology  numazu college,0,0,2,1
naval research labratory,0,0,2,1
nestlé research,0,0,2,1
newcastle university,0,0,2,1
nexceris,0,0,2,1
nrel,0,0,2,1
orion engineered carbons,0,0,2,1
padova university,0,0,2,1
pakistan institute of nuclear science and technology,0,0,2,1
power environmental energy research institute,0,0,2,1
poznań university of medical sciences,0,0,2,1
psri,0,0,2,1
redoxblox inc,0,0,2,1
rite,0,0,2,1
robert bosch gmbh,0,0,2,1
roosense llc,0,0,2,1
rowland institute at harvard  harvard university,0,0,2,1
sabic specialties,0,0,2,1
sartorius stedim fmt s a s,0,0,2,1
shell global solutions international bv,0,0,2,1
shell international exploration and production inc,0,0,2,1
shell technical center bangalore,0,0,2,1
siemens process systems engineering,0,0,2,1
siemens pse,0,0,2,1
sinopec shanghai research institute of petrochemical technology,0,0,2,1
stf technologies llc,0,0,2,1
sustainable bio-based materials lab,0,0,2,1
swisstopo,0,0,2,1
technical university berlin,0,0,2,1
tecmasters  inc,0,0,2,1
the scripps research institute,0,0,2,1
tiny bright things,0,0,2,1
toyota research institute,0,0,2,1
tu delft  the netherlands,0,0,2,1
u  s  steel,0,0,2,1
u s  doe national energy technology laboratory,0,0,2,1
ucl school of pharmacy,0,0,2,1
univ fed ceara,0,0,2,1
univ lille  centrale lille  enscl  univ artois  umr 8181 - uccs- unité de catalyse et chimie du solide,0,0,2,1
university of blumenau - furb,0,0,2,1
university of zurich,0,0,2,1
university rennes  inserm  ehesp  irset    umr_s1085  f-35000,0,0,2,1
universität leipzig,0,0,2,1
valent biosciences llc,0,0,2,1
wyss institute for biologically inspired engineering at harvard university,0,0,2,1
Finnish Institute of Occupational Health,0,0,2,0
mario negri institute for pharmacological research,0,0,2,0
norwegian institute for air research,0,0,2,0
swiss federal laboratories for materials science and technology,0,0,2,0
university of naples federico i,0,0,2,0
ABB,0,0,1,7
ETH,0,0,1,7
Otto von Guericke University,0,0,1,7
ucla henry samueli school of engineering and applied science,0,0,1,6
south dakota school of mines andtechnology,0,0,1,4
umbc,0,0,1,4
INSTM,0,0,1,3
Linde,0,0,1,3
University of Amsterdam,0,0,1,3
advanced energy materials,0,0,1,3
aristosys  llc  contractor to national energy technology laboratory,0,0,1,3
cambridge simulation solutions ltd,0,0,1,3
department of bioengineering and san diego supercomputer center  university of california  san diego,0,0,1,3
glycosyn llc,0,0,1,3
indian oil corporation ltd  randd centre,0,0,1,3
levich institute  city college of new york,0,0,1,3
massachusetts institute of technology and arizona,0,0,1,3
umass amherst  department of chemical engineering,0,0,1,3
Clausthal University of Technology,0,0,1,2
Cornell,0,0,1,2
Feed Energy,0,0,1,2
Janssen pharmaceuticals,0,0,1,2
South Dakota Mines,0,0,1,2
UNIST,0,0,1,2
Universidad Mariana de Pasto,0,0,1,2
University of Turku,0,0,1,2
Utsunomiya University,0,0,1,2
amgen research  gmbh,0,0,1,2
amgen research munich,0,0,1,2
aopia biosciences  inc,0,0,1,2
battelle netl,0,0,1,2
boehringer-ingelheim pharm  inc,0,0,1,2
broad institute,0,0,1,2
broad institute of harvard and massachusetts institute of technology,0,0,1,2
cambridge centre for advanced research and education in singapore,0,0,1,2
csiro,0,0,1,2
escuela colombiana de ingeniería julio garavito,0,0,1,2
federal university of bahia,0,0,1,2
goeppert llc,0,0,1,2
hemocleanse technologies  llc,0,0,1,2
high performance materials institute  florida state university,0,0,1,2
hovione farmaciencia  s a,0,0,1,2
illinois tech,0,0,1,2
institute of automation and control  graz university of technology,0,0,1,2
leidos research support team,0,0,1,2
lubrizol advanced materials europe bvba,0,0,1,2
minnesota state university at mankato,0,0,1,2
monash university,0,0,1,2
msd czech republic,0,0,1,2
nasa marshall space flight center,0,0,1,2
national energy technology laboratory support contractor,0,0,1,2
national university of science and technology politehnica,0,0,1,2
njit dept of chemical and materials engineering,0,0,1,2
oak ridge institure of science and education,0,0,1,2
ore catapult,0,0,1,2
pse for speed company ltd,0,0,1,2
randic netl,0,0,1,2
sachem inc,0,0,1,2
sartorius stedim north america,0,0,1,2
shanghaitech university,0,0,1,2
siemens digital industries software,0,0,1,2
surface measurement system,0,0,1,2
the college of wooster,0,0,1,2
u s  army combat capabilities development command,0,0,1,2
university college london - torrington place,0,0,1,2
university of colorado denver - anschutz medical campus,0,0,1,2
university of illinois  urbana-champaign,0,0,1,2
university of illinois at urbana-champain,0,0,1,2
university of missouri columbia,0,0,1,2
université catholique de louvain  place l  pasteur 1,0,0,1,2
upmc surgery department,0,0,1,2
us army devcom chemical biological center,0,0,1,2
wpi,0,0,1,2
wvurc,0,0,1,2
4  clayton high school  1 mark twain cir,0,0,1,1
ANSTO,0,0,1,1
Air Gas,0,0,1,1
Arla Foods,0,0,1,1
Army Research Lab,0,0,1,1
Augsburg College,0,0,1,1
Ben-Gurion University of the Negev,0,0,1,1
Boeing,0,0,1,1
Bu-Ali Sina University,0,0,1,1
Burapha University,0,0,1,1
CIC nanoGUNE,0,0,1,1
CSS Inc,0,0,1,1
California Energy Commission,0,0,1,1
Callaghan Innovation,0,0,1,1
China University of Petroleum,0,0,1,1
Coanda,0,0,1,1
Columbia,0,0,1,1
Consejo Superior de Investigaciones Científicas,0,0,1,1
Dokuz Eylul University,0,0,1,1
EDF R&D,0,0,1,1
EM AI Technology,0,0,1,1
Exponent,0,0,1,1
Federal University of Santa Catarina,0,0,1,1
GE Aerospace,0,0,1,1
Georg-August Universitat,0,0,1,1
Groningen University,0,0,1,1
Harro Höfliger,0,0,1,1
Henkel,0,0,1,1
Hochschule Rosenheim,0,0,1,1
IBM Almaden Research Center,0,0,1,1
Ibb University,0,0,1,1
Illinois State University,0,0,1,1
Institut Charles Sadron,0,0,1,1
Izmir Institute of Technology,0,0,1,1
JARA-ENERGY,0,0,1,1
Kanazawa University,0,0,1,1
LANL,0,0,1,1
Laboratoire de Génie Chimique,0,0,1,1
Medical College of Wisconsin,0,0,1,1
Merck KGaA,0,0,1,1
Mines ParisTech,0,0,1,1
Naresuan University,0,0,1,1
National Lab,0,0,1,1
Novelis,0,0,1,1
Orlando Utilities Commission,0,0,1,1
Paris-Lodron University Salzburg,0,0,1,1
Poznan University of Technology,0,0,1,1
Process Consultant,0,0,1,1
"Procter & Gamble, Mason, OH",0,0,1,1
RERI,0,0,1,1
Repsol Polímeros S.A.,0,0,1,1
Riken,0,0,1,1
River Otter,0,0,1,1
SUNY Brockport,0,0,1,1
SUNY-Buffalo,0,0,1,1
Semmelweis University,0,0,1,1
Shell Technology Center,0,0,1,1
South Ural State University,0,0,1,1
Synt Solutions,0,0,1,1
TU Berlin,0,0,1,1
Tata Institute of Fundamental Research,0,0,1,1
ULCA,0,0,1,1
Unilever R&D,0,0,1,1
Universidad Autónoma de Sinaloa,0,0,1,1
Universidade De Lisboa,0,0,1,1
Universidade Estadual de Campinas,0,0,1,1
Universidade Federal do Rio Grande do Sul,0,0,1,1
Universitat Pompeu Fabra,0,0,1,1
Universitat Rovira i Virgili,0,0,1,1
University of Aberdeen,0,0,1,1
University of Bayreuth,0,0,1,1
University of Colorado Denver,0,0,1,1
University of Isfahan,0,0,1,1
University of Ljubljana,0,0,1,1
University of Luxembourg,0,0,1,1
University of Minnesota - Duluth,0,0,1,1
University of Munster,0,0,1,1
University of North Texas,0,0,1,1
University of Omaha,0,0,1,1
University of Pannonia,0,0,1,1
University of Texas Medical Branch,0,0,1,1
University of Trinidad and Tobago,0,0,1,1
University of Warwick,0,0,1,1
University of Western Australia,0,0,1,1
"University of the Peloponnese,",0,0,1,1
Université Grenoble Alpes,0,0,1,1
VUB,0,0,1,1
Valladolid University,0,0,1,1
Wake Forest School of Medicine,0,0,1,1
Wichita State University,0,0,1,1
YPF,0,0,1,1
Zhengzhou University,0,0,1,1
abu dhabi ports,0,0,1,1
adam mickiewicz university  poznan  poland,0,0,1,1
aecom,0,0,1,1
afton chemical corporation,0,0,1,1
agency for defence development,0,0,1,1
air products and chemicals inc,0,0,1,1
aix marseille univ,0,0,1,1
alkermes,0,0,1,1
alkermes  inc,0,0,1,1
alphane labs  inc,0,0,1,1
ampère sas,0,0,1,1
andlinger center for energy and the environment,0,0,1,1
ankara university,0,0,1,1
aqua cultured foods,0,0,1,1
argonne national labs,0,0,1,1
arizona geological survey,0,0,1,1
army research laboratory,0,0,1,1
asahi kasei biomedical,0,0,1,1
aspentech de mexico,0,0,1,1
asr innovation center  tellus products,0,0,1,1
avgi bv,0,0,1,1
babol noshirvani university of technology,0,0,1,1
barrington community high school,0,0,1,1
basf environmental catalyst and metal solutions,0,0,1,1
basque center for applied mathematics,0,0,1,1
bcsir-central scientific instruments organisation,0,0,1,1
bcsir-central scientific instruments organisation  sector 30-c  160030  india,0,0,1,1
bentley university,0,0,1,1
beth israel deaconess medical center  boston,0,0,1,1
biohaven pharmaceuticals,0,0,1,1
biological systems and engineering division  lawrence berkeley national laboratory,0,0,1,1
bloomage biotechnology corporation limited,0,0,1,1
boehringer ingelheim pharma gmbh and co kg,0,0,1,1
brigham and women s hospital  harvard medical school  harvard stem cell institute,0,0,1,1
bristol-myers squibb  inc,0,0,1,1
brookhaven laboratory,0,0,1,1
budapest university of technology and economics,0,0,1,1
cadfem india,0,0,1,1
cal poly pomona,0,0,1,1
california institute of technology - pasadena  ca,0,0,1,1
catholic university of louvain,0,0,1,1
cedars-sinai medical center,0,0,1,1
center for bioenergy innovation,0,0,1,1
center for bioenergy innovation  oak ridge national laboratory,0,0,1,1
center for tuberculosis  ucsf,0,0,1,1
centro regional de estudios en alimentos saludables  creas,0,0,1,1
chair of applied mathematics,0,0,1,1
chalmers university,0,0,1,1
chartered process engineer,0,0,1,1
chemical sciences and engineering division  argonne national laboratory,0,0,1,1
chemistry and biochemistry,0,0,1,1
children s hospital of philadelphia,0,0,1,1
chonnam national university,0,0,1,1
chool of materials science and engineering  henan university of technology  zhengzhou city  450001  pr china,0,0,1,1
ciatec,0,0,1,1
city university of hong kong,0,0,1,1
cj cheiljedang,0,0,1,1
clariant corp,0,0,1,1
clark atlanta university,0,0,1,1
clexbio,0,0,1,1
